ペルソナ名,都道府県,市区町村,キー,人数,緯度,経度
20代層,鹿児島県,鹿児島市,鹿児島県鹿児島市,1,35.0,135.0
20代層,徳島県,吉野川市,徳島県吉野川市,3,35.0,135.0
20代層,群馬県,太田市,群馬県太田市,1,36.3907,139.0604
20代層,宮城県,石巻市,宮城県石巻市,1,35.0,135.0
20代層,鳥取県,鳥取市,鳥取県鳥取市,2,35.0,135.0
20代層,徳島県,鳴門市,徳島県鳴門市,1,35.0,135.0
20代層,新潟県,新潟市中央区,新潟県新潟市中央区,1,35.0,135.0
20代層,徳島県,板野郡藍住町,徳島県板野郡藍住町,2,35.0,135.0
20代層,静岡県,浜松市浜名区,静岡県浜松市浜名区,1,35.0,135.0
20代層,茨城県,取手市,茨城県取手市,1,36.3418,140.4467
20代層,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区,2,34.6913,135.183
20代層,埼玉県,秩父市,埼玉県秩父市,1,35.8617,139.6455
20代層,熊本県,熊本市西区,熊本県熊本市西区,3,35.0,135.0
20代層,香川県,小豆郡小豆島町,香川県小豆郡小豆島町,1,35.0,135.0
20代層,岡山県,岡山市南区,岡山県岡山市南区,1,35.0,135.0
20代層,岐阜県,羽島市,岐阜県羽島市,1,35.0,135.0
20代層,神奈川県,三浦市,神奈川県三浦市,1,35.4478,139.6425
20代層,愛知県,愛西市,愛知県愛西市,1,35.0,135.0
20代層,茨城県,行方市,茨城県行方市,1,36.3418,140.4467
20代層,宮城県,仙台市若林区,宮城県仙台市若林区,1,35.0,135.0
20代層,愛知県,豊川市,愛知県豊川市,1,35.0,135.0
20代層,北海道,河東郡音更町,北海道河東郡音更町,1,35.0,135.0
20代層,高知県,高知市,高知県高知市,3,35.0,135.0
20代層,茨城県,鹿嶋市,茨城県鹿嶋市,1,36.3418,140.4467
20代層,徳島県,徳島市,徳島県徳島市,2,35.0,135.0
20代層,北海道,二海郡八雲町,北海道二海郡八雲町,1,35.0,135.0
20代層,山口県,下松市,山口県下松市,1,35.0,135.0
20代層,静岡県,静岡市清水区,静岡県静岡市清水区,1,35.0,135.0
20代層,岡山県,高梁市,岡山県高梁市,1,35.0,135.0
20代層,福岡県,北九州市八幡東区,福岡県北九州市八幡東区,2,35.0,135.0
20代層,兵庫県,加西市,兵庫県加西市,2,34.6913,135.183
20代層,岡山県,倉敷市,岡山県倉敷市,2,35.0,135.0
20代層,北海道,虻田郡倶知安町,北海道虻田郡倶知安町,1,35.0,135.0
20代層,東京都,国立市,東京都国立市,2,35.6895,139.6917
20代層,埼玉県,秩父郡長瀞町,埼玉県秩父郡長瀞町,1,35.8617,139.6455
20代層,沖縄県,沖縄市,沖縄県沖縄市,2,35.0,135.0
20代層,広島県,広島市東区,広島県広島市東区,3,35.0,135.0
20代層,秋田県,大仙市,秋田県大仙市,1,35.0,135.0
20代層,北海道,札幌市豊平区,北海道札幌市豊平区,1,35.0,135.0
20代層,北海道,札幌市南区,北海道札幌市南区,1,35.0,135.0
20代層,長野県,諏訪市,長野県諏訪市,1,35.0,135.0
20代層,広島県,広島市南区,広島県広島市南区,2,35.0,135.0
20代層,北海道,札幌市西区,北海道札幌市西区,2,35.0,135.0
20代層,北海道,札幌市中央区,北海道札幌市中央区,2,35.0,135.0
20代層,和歌山県,岩出市,和歌山県岩出市,1,35.0,135.0
20代層,和歌山県,東牟婁郡串本町,和歌山県東牟婁郡串本町,1,35.0,135.0
20代層,愛知県,長久手市,愛知県長久手市,1,35.0,135.0
20代層,兵庫県,朝来市,兵庫県朝来市,2,34.6913,135.183
20代層,北海道,野付郡別海町,北海道野付郡別海町,1,35.0,135.0
20代層,宮崎県,日南市,宮崎県日南市,1,35.0,135.0
20代層,北海道,札幌市北区,北海道札幌市北区,1,35.0,135.0
20代層,埼玉県,さいたま市北区,埼玉県さいたま市北区,2,35.8617,139.6455
20代層,長野県,北佐久郡軽井沢町,長野県北佐久郡軽井沢町,1,35.0,135.0
20代層,茨城県,常総市,茨城県常総市,1,36.3418,140.4467
20代層,愛知県,岩倉市,愛知県岩倉市,1,35.0,135.0
20代層,福井県,福井市,福井県福井市,1,35.0,135.0
20代層,新潟県,新潟市江南区,新潟県新潟市江南区,1,35.0,135.0
20代層,北海道,札幌市東区,北海道札幌市東区,3,35.0,135.0
20代層,富山県,黒部市,富山県黒部市,1,35.0,135.0
20代層,東京都,羽村市,東京都羽村市,1,35.6895,139.6917
20代層,埼玉県,桶川市,埼玉県桶川市,1,35.8617,139.6455
20代層,福岡県,糟屋郡宇美町,福岡県糟屋郡宇美町,1,35.0,135.0
20代層,北海道,札幌市厚別区,北海道札幌市厚別区,1,35.0,135.0
20代層,北海道,札幌市清田区,北海道札幌市清田区,1,35.0,135.0
20代層,茨城県,筑西市,茨城県筑西市,1,36.3418,140.4467
20代層,茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町,1,36.3418,140.4467
20代層,福井県,鯖江市,福井県鯖江市,1,35.0,135.0
20代層,兵庫県,豊岡市,兵庫県豊岡市,6,34.6913,135.183
20代層,岡山県,岡山市東区,岡山県岡山市東区,1,35.0,135.0
20代層,佐賀県,神埼郡吉野ヶ里町,佐賀県神埼郡吉野ヶ里町,1,35.0,135.0
20代層,熊本県,合志市,熊本県合志市,2,35.0,135.0
20代層,兵庫県,西脇市,兵庫県西脇市,1,34.6913,135.183
20代層,熊本県,菊池市,熊本県菊池市,1,35.0,135.0
20代層,福岡県,大牟田市,福岡県大牟田市,1,35.0,135.0
20代層,福岡県,筑後市,福岡県筑後市,1,35.0,135.0
20代層,広島県,廿日市市,広島県廿日市市,2,35.0,135.0
20代層,京都府,京丹後市,京都府京丹後市,13,35.0116,135.7681
20代層,北海道,札幌市手稲区,北海道札幌市手稲区,1,35.0,135.0
20代層,和歌山県,田辺市,和歌山県田辺市,1,35.0,135.0
20代層,島根県,,島根県,1,35.0,135.0
20代層,愛媛県,,愛媛県,1,35.0,135.0
20代層,長崎県,,長崎県,1,35.0,135.0
20代層,熊本県,,熊本県,1,35.0,135.0
20代層,宮崎県,,宮崎県,1,35.0,135.0
20代層,鹿児島県,,鹿児島県,1,35.0,135.0
20代層,沖縄県,,沖縄県,1,35.0,135.0
20代層,山形県,寒河江市,山形県寒河江市,1,35.0,135.0
20代層,山形県,米沢市,山形県米沢市,1,35.0,135.0
20代層,千葉県,君津市,千葉県君津市,1,35.6074,140.1233
20代層,群馬県,安中市,群馬県安中市,1,36.3907,139.0604
20代層,茨城県,日立市,茨城県日立市,1,36.3418,140.4467
20代層,茨城県,神栖市,茨城県神栖市,1,36.3418,140.4467
20代層,愛知県,知立市,愛知県知立市,1,35.0,135.0
20代層,埼玉県,本庄市,埼玉県本庄市,1,35.8617,139.6455
20代層,茨城県,結城市,茨城県結城市,1,36.3418,140.4467
20代層,茨城県,高萩市,茨城県高萩市,1,36.3418,140.4467
20代層,千葉県,八街市,千葉県八街市,1,35.6074,140.1233
20代層,栃木県,足利市,栃木県足利市,1,36.5657,139.8836
20代層,静岡県,御前崎市,静岡県御前崎市,1,35.0,135.0
20代層,神奈川県,海老名市,神奈川県海老名市,1,35.4478,139.6425
20代層,兵庫県,赤穂市,兵庫県赤穂市,1,34.6913,135.183
20代層,岡山県,笠岡市,岡山県笠岡市,1,35.0,135.0
20代層,京都府,綾部市,京都府綾部市,4,35.0116,135.7681
20代層,山口県,山陽小野田市,山口県山陽小野田市,2,35.0,135.0
20代層,京都府,綴喜郡宇治田原町,京都府綴喜郡宇治田原町,6,35.0116,135.7681
20代層,三重県,員弁郡東員町,三重県員弁郡東員町,1,35.0,135.0
20代層,山口県,熊毛郡田布施町,山口県熊毛郡田布施町,1,35.0,135.0
20代層,新潟県,上越市,新潟県上越市,1,35.0,135.0
20代層,鹿児島県,指宿市,鹿児島県指宿市,1,35.0,135.0
