prefecture,municipality,location_key,applicant_count
埼玉県,さいたま市緑区,埼玉県さいたま市緑区,11
埼玉県,さいたま市北区,埼玉県さいたま市北区,11
神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区,11
奈良県,桜井市,奈良県桜井市,11
埼玉県,川越市,埼玉県川越市,11
千葉県,,千葉県,11
埼玉県,さいたま市大宮区,埼玉県さいたま市大宮区,11
神奈川県,相模原市中央区,神奈川県相模原市中央区,11
福岡県,福岡市東区,福岡県福岡市東区,11
福岡県,福岡市南区,福岡県福岡市南区,11
埼玉県,さいたま市西区,埼玉県さいたま市西区,11
大阪府,大阪狭山市,大阪府大阪狭山市,11
愛知県,名古屋市名東区,愛知県名古屋市名東区,10
東京都,西東京市,東京都西東京市,10
福岡県,福岡市博多区,福岡県福岡市博多区,10
東京都,府中市,東京都府中市,10
奈良県,葛城市,奈良県葛城市,10
兵庫県,豊岡市,兵庫県豊岡市,10
埼玉県,狭山市,埼玉県狭山市,10
福岡県,,福岡県,10
神奈川県,平塚市,神奈川県平塚市,10
大阪府,貝塚市,大阪府貝塚市,10
愛知県,名古屋市瑞穂区,愛知県名古屋市瑞穂区,10
愛知県,名古屋市港区,愛知県名古屋市港区,10
埼玉県,さいたま市南区,埼玉県さいたま市南区,10
神奈川県,横浜市旭区,神奈川県横浜市旭区,10
福岡県,福岡市中央区,福岡県福岡市中央区,10
千葉県,千葉市稲毛区,千葉県千葉市稲毛区,10
三重県,津市,三重県津市,9
愛知県,名古屋市南区,愛知県名古屋市南区,9
広島県,広島市中区,広島県広島市中区,9
埼玉県,朝霞市,埼玉県朝霞市,9
千葉県,佐倉市,千葉県佐倉市,9
愛知県,名古屋市西区,愛知県名古屋市西区,9
滋賀県,高島市,滋賀県高島市,9
京都府,相楽郡南山城村,京都府相楽郡南山城村,9
愛知県,名古屋市中川区,愛知県名古屋市中川区,9
埼玉県,和光市,埼玉県和光市,9
埼玉県,さいたま市岩槻区,埼玉県さいたま市岩槻区,9
埼玉県,草加市,埼玉県草加市,9
千葉県,千葉市緑区,千葉県千葉市緑区,9
兵庫県,川辺郡猪名川町,兵庫県川辺郡猪名川町,9
埼玉県,三郷市,埼玉県三郷市,9
岐阜県,各務原市,岐阜県各務原市,9
東京都,立川市,東京都立川市,9
埼玉県,さいたま市見沼区,埼玉県さいたま市見沼区,9
愛知県,一宮市,愛知県一宮市,9
神奈川県,厚木市,神奈川県厚木市,9
三重県,松阪市,三重県松阪市,9
神奈川県,横浜市栄区,神奈川県横浜市栄区,9
神奈川県,秦野市,神奈川県秦野市,8
神奈川県,海老名市,神奈川県海老名市,8
大阪府,堺市美原区,大阪府堺市美原区,8
茨城県,土浦市,茨城県土浦市,8
神奈川県,横浜市泉区,神奈川県横浜市泉区,8
奈良県,北葛城郡河合町,奈良県北葛城郡河合町,8
神奈川県,相模原市緑区,神奈川県相模原市緑区,8
埼玉県,蕨市,埼玉県蕨市,8
千葉県,四街道市,千葉県四街道市,8
千葉県,千葉市若葉区,千葉県千葉市若葉区,8
埼玉県,久喜市,埼玉県久喜市,8
神奈川県,川崎市高津区,神奈川県川崎市高津区,8
千葉県,浦安市,千葉県浦安市,8
神奈川県,横浜市港南区,神奈川県横浜市港南区,8
広島県,福山市,広島県福山市,8
東京都,小平市,東京都小平市,8
滋賀県,蒲生郡日野町,滋賀県蒲生郡日野町,8
奈良県,北葛城郡上牧町,奈良県北葛城郡上牧町,8
神奈川県,横浜市金沢区,神奈川県横浜市金沢区,8
三重県,四日市市,三重県四日市市,8
愛知県,名古屋市東区,愛知県名古屋市東区,8
千葉県,千葉市花見川区,千葉県千葉市花見川区,8
茨城県,つくば市,茨城県つくば市,8
愛媛県,松山市,愛媛県松山市,8
神奈川県,川崎市麻生区,神奈川県川崎市麻生区,8
静岡県,静岡市駿河区,静岡県静岡市駿河区,7
千葉県,成田市,千葉県成田市,7
静岡県,,静岡県,7
埼玉県,入間市,埼玉県入間市,7
群馬県,前橋市,群馬県前橋市,7
愛知県,名古屋市熱田区,愛知県名古屋市熱田区,7
宮城県,,宮城県,7
愛知県,名古屋市昭和区,愛知県名古屋市昭和区,7
愛知県,春日井市,愛知県春日井市,7
愛知県,名古屋市北区,愛知県名古屋市北区,7
長野県,長野市,長野県長野市,7
福井県,小浜市,福井県小浜市,7
広島県,,広島県,7
埼玉県,鴻巣市,埼玉県鴻巣市,7
神奈川県,横浜市磯子区,神奈川県横浜市磯子区,7
福岡県,福岡市西区,福岡県福岡市西区,7
東京都,東久留米市,東京都東久留米市,7
石川県,金沢市,石川県金沢市,7
鹿児島県,鹿児島市,鹿児島県鹿児島市,7
埼玉県,吉川市,埼玉県吉川市,7
東京都,日野市,東京都日野市,7
和歌山県,,和歌山県,7
埼玉県,上尾市,埼玉県上尾市,7
愛知県,瀬戸市,愛知県瀬戸市,7
神奈川県,横浜市瀬谷区,神奈川県横浜市瀬谷区,7
千葉県,千葉市美浜区,千葉県千葉市美浜区,7
東京都,国分寺市,東京都国分寺市,7
千葉県,八千代市,千葉県八千代市,7
東京都,武蔵野市,東京都武蔵野市,7
神奈川県,小田原市,神奈川県小田原市,7
香川県,高松市,香川県高松市,7
埼玉県,さいたま市桜区,埼玉県さいたま市桜区,7
群馬県,太田市,群馬県太田市,7
広島県,広島市東区,広島県広島市東区,6
広島県,広島市安佐南区,広島県広島市安佐南区,6
茨城県,,茨城県,6
岡山県,,岡山県,6
愛知県,あま市,愛知県あま市,6
広島県,広島市南区,広島県広島市南区,6
広島県,広島市佐伯区,広島県広島市佐伯区,6
愛知県,小牧市,愛知県小牧市,6
大阪府,泉南市,大阪府泉南市,6
三重県,鈴鹿市,三重県鈴鹿市,6
愛知県,豊田市,愛知県豊田市,6
岐阜県,,岐阜県,6
大阪府,豊能郡能勢町,大阪府豊能郡能勢町,6
栃木県,宇都宮市,栃木県宇都宮市,6
埼玉県,熊谷市,埼玉県熊谷市,6
東京都,あきる野市,東京都あきる野市,6
埼玉県,白岡市,埼玉県白岡市,6
愛知県,豊橋市,愛知県豊橋市,6
静岡県,富士市,静岡県富士市,6
東京都,国立市,東京都国立市,6
東京都,西多摩郡瑞穂町,東京都西多摩郡瑞穂町,6
福岡県,春日市,福岡県春日市,6
埼玉県,戸田市,埼玉県戸田市,6
奈良県,磯城郡三宅町,奈良県磯城郡三宅町,6
東京都,東村山市,東京都東村山市,6
東京都,青梅市,東京都青梅市,6
沖縄県,,沖縄県,6
奈良県,北葛城郡広陵町,奈良県北葛城郡広陵町,6
栃木県,小山市,栃木県小山市,6
埼玉県,深谷市,埼玉県深谷市,6
神奈川県,座間市,神奈川県座間市,6
千葉県,我孫子市,千葉県我孫子市,6
千葉県,野田市,千葉県野田市,6
沖縄県,那覇市,沖縄県那覇市,6
群馬県,高崎市,群馬県高崎市,6
福井県,大飯郡おおい町,福井県大飯郡おおい町,6
三重県,伊賀市,三重県伊賀市,6
愛知県,半田市,愛知県半田市,6
埼玉県,さいたま市中央区,埼玉県さいたま市中央区,6
静岡県,静岡市葵区,静岡県静岡市葵区,6
神奈川県,伊勢原市,神奈川県伊勢原市,5
埼玉県,さいたま市浦和区,埼玉県さいたま市浦和区,5
岐阜県,多治見市,岐阜県多治見市,5
京都府,相楽郡和束町,京都府相楽郡和束町,5
愛知県,豊明市,愛知県豊明市,5
静岡県,富士宮市,静岡県富士宮市,5
茨城県,水戸市,茨城県水戸市,5
埼玉県,加須市,埼玉県加須市,5
栃木県,足利市,栃木県足利市,5
茨城県,取手市,茨城県取手市,5
茨城県,ひたちなか市,茨城県ひたちなか市,5
奈良県,吉野郡大淀町,奈良県吉野郡大淀町,5
福岡県,那珂川市,福岡県那珂川市,5
群馬県,伊勢崎市,群馬県伊勢崎市,5
福岡県,福岡市城南区,福岡県福岡市城南区,5
沖縄県,沖縄市,沖縄県沖縄市,5
愛知県,江南市,愛知県江南市,5
茨城県,結城市,茨城県結城市,5
岡山県,岡山市北区,岡山県岡山市北区,5
広島県,廿日市市,広島県廿日市市,5
高知県,高知市,高知県高知市,5
奈良県,生駒郡安堵町,奈良県生駒郡安堵町,5
埼玉県,蓮田市,埼玉県蓮田市,5
三重県,桑名市,三重県桑名市,5
兵庫県,西脇市,兵庫県西脇市,5
東京都,小金井市,東京都小金井市,5
北海道,札幌市中央区,北海道札幌市中央区,5
茨城県,守谷市,茨城県守谷市,5
北海道,,北海道,5
栃木県,,栃木県,5
和歌山県,橋本市,和歌山県橋本市,5
滋賀県,蒲生郡竜王町,滋賀県蒲生郡竜王町,5
埼玉県,桶川市,埼玉県桶川市,5
愛知県,刈谷市,愛知県刈谷市,5
愛知県,犬山市,愛知県犬山市,5
広島県,広島市西区,広島県広島市西区,5
福岡県,朝倉市,福岡県朝倉市,5
岐阜県,大垣市,岐阜県大垣市,5
東京都,昭島市,東京都昭島市,5
島根県,,島根県,5
大阪府,泉南郡熊取町,大阪府泉南郡熊取町,4
兵庫県,朝来市,兵庫県朝来市,4
福島県,郡山市,福島県郡山市,4
三重県,名張市,三重県名張市,4
茨城県,日立市,茨城県日立市,4
茨城県,牛久市,茨城県牛久市,4
埼玉県,八潮市,埼玉県八潮市,4
千葉県,印西市,千葉県印西市,4
長野県,松本市,長野県松本市,4
福井県,越前市,福井県越前市,4
香川県,,香川県,4
山形県,山形市,山形県山形市,4
埼玉県,富士見市,埼玉県富士見市,4
愛媛県,,愛媛県,4
愛知県,安城市,愛知県安城市,4
三重県,志摩市,三重県志摩市,4
兵庫県,小野市,兵庫県小野市,4
兵庫県,淡路市,兵庫県淡路市,4
福岡県,久留米市,福岡県久留米市,4
愛知県,稲沢市,愛知県稲沢市,4
秋田県,,秋田県,4
山口県,山口市,山口県山口市,4
奈良県,五條市,奈良県五條市,4
熊本県,熊本市南区,熊本県熊本市南区,4
広島県,広島市安佐北区,広島県広島市安佐北区,4
愛知県,大府市,愛知県大府市,4
長崎県,長崎市,長崎県長崎市,4
埼玉県,入間郡三芳町,埼玉県入間郡三芳町,4
愛知県,尾張旭市,愛知県尾張旭市,4
東京都,東大和市,東京都東大和市,4
岡山県,総社市,岡山県総社市,4
埼玉県,ふじみ野市,埼玉県ふじみ野市,4
千葉県,袖ケ浦市,千葉県袖ケ浦市,4
岡山県,倉敷市,岡山県倉敷市,4
福岡県,古賀市,福岡県古賀市,4
神奈川県,足柄上郡開成町,神奈川県足柄上郡開成町,4
岐阜県,可児市,岐阜県可児市,4
三重県,,三重県,4
埼玉県,北本市,埼玉県北本市,4
京都府,相楽郡笠置町,京都府相楽郡笠置町,4
大阪府,豊能郡豊能町,大阪府豊能郡豊能町,4
埼玉県,東松山市,埼玉県東松山市,4
静岡県,浜松市中区,静岡県浜松市中区,4
千葉県,鎌ケ谷市,千葉県鎌ケ谷市,4
兵庫県,三木市,兵庫県三木市,4
福岡県,大野城市,福岡県大野城市,4
兵庫県,加東市,兵庫県加東市,4
東京都,狛江市,東京都狛江市,4
神奈川県,綾瀬市,神奈川県綾瀬市,4
石川県,,石川県,4
埼玉県,本庄市,埼玉県本庄市,4
滋賀県,米原市,滋賀県米原市,4
富山県,,富山県,4
和歌山県,岩出市,和歌山県岩出市,4
岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町,4
兵庫県,多可郡多可町,兵庫県多可郡多可町,4
山梨県,甲府市,山梨県甲府市,4
熊本県,熊本市中央区,熊本県熊本市中央区,4
福井県,,福井県,4
栃木県,栃木市,栃木県栃木市,3
茨城県,神栖市,茨城県神栖市,3
岐阜県,美濃加茂市,岐阜県美濃加茂市,3
愛知県,西春日井郡豊山町,愛知県西春日井郡豊山町,3
千葉県,香取市,千葉県香取市,3
茨城県,小美玉市,茨城県小美玉市,3
岐阜県,関市,岐阜県関市,3
新潟県,新潟市江南区,新潟県新潟市江南区,3
広島県,尾道市,広島県尾道市,3
熊本県,熊本市北区,熊本県熊本市北区,3
熊本県,熊本市東区,熊本県熊本市東区,3
福島県,福島市,福島県福島市,3
愛知県,岡崎市,愛知県岡崎市,3
愛知県,豊川市,愛知県豊川市,3
徳島県,鳴門市,徳島県鳴門市,3
愛知県,津島市,愛知県津島市,3
岩手県,,岩手県,3
福島県,,福島県,3
福岡県,北九州市八幡西区,福岡県北九州市八幡西区,3
群馬県,,群馬県,3
大分県,大分市,大分県大分市,3
三重県,亀山市,三重県亀山市,3
福井県,三方上中郡若狭町,福井県三方上中郡若狭町,3
奈良県,山辺郡山添村,奈良県山辺郡山添村,3
千葉県,木更津市,千葉県木更津市,3
沖縄県,うるま市,沖縄県うるま市,3
鳥取県,鳥取市,鳥取県鳥取市,3
山梨県,,山梨県,3
愛知県,清須市,愛知県清須市,3
鹿児島県,,鹿児島県,3
北海道,札幌市西区,北海道札幌市西区,3
愛知県,知多市,愛知県知多市,3
熊本県,,熊本県,3
群馬県,桐生市,群馬県桐生市,3
群馬県,安中市,群馬県安中市,3
福岡県,糟屋郡粕屋町,福岡県糟屋郡粕屋町,3
福岡県,福津市,福岡県福津市,3
兵庫県,高砂市,兵庫県高砂市,3
北海道,札幌市東区,北海道札幌市東区,3
愛知県,西尾市,愛知県西尾市,3
千葉県,茂原市,千葉県茂原市,3
愛知県,常滑市,愛知県常滑市,3
宮城県,仙台市若林区,宮城県仙台市若林区,3
宮崎県,宮崎市,宮崎県宮崎市,3
静岡県,静岡市清水区,静岡県静岡市清水区,3
長野県,,長野県,3
埼玉県,鶴ヶ島市,埼玉県鶴ヶ島市,3
静岡県,磐田市,静岡県磐田市,3
群馬県,邑楽郡大泉町,群馬県邑楽郡大泉町,3
石川県,加賀市,石川県加賀市,3
宮城県,仙台市宮城野区,宮城県仙台市宮城野区,3
埼玉県,志木市,埼玉県志木市,3
茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町,3
愛知県,岩倉市,愛知県岩倉市,3
福岡県,筑紫野市,福岡県筑紫野市,3
兵庫県,加古郡稲美町,兵庫県加古郡稲美町,3
群馬県,佐波郡玉村町,群馬県佐波郡玉村町,3
愛知県,海部郡大治町,愛知県海部郡大治町,3
熊本県,熊本市西区,熊本県熊本市西区,3
沖縄県,宜野湾市,沖縄県宜野湾市,3
宮城県,仙台市青葉区,宮城県仙台市青葉区,3
石川県,野々市市,石川県野々市市,3
石川県,白山市,石川県白山市,3
広島県,安芸郡海田町,広島県安芸郡海田町,3
愛知県,愛知郡東郷町,愛知県愛知郡東郷町,3
岐阜県,瑞穂市,岐阜県瑞穂市,3
福岡県,糸島市,福岡県糸島市,3
岐阜県,高山市,岐阜県高山市,3
神奈川県,逗子市,神奈川県逗子市,3
沖縄県,南城市,沖縄県南城市,3
埼玉県,飯能市,埼玉県飯能市,3
愛知県,北名古屋市,愛知県北名古屋市,3
愛知県,日進市,愛知県日進市,3
神奈川県,南足柄市,神奈川県南足柄市,3
愛知県,愛西市,愛知県愛西市,3
徳島県,吉野川市,徳島県吉野川市,3
神奈川県,中郡二宮町,神奈川県中郡二宮町,3
宮城県,仙台市泉区,宮城県仙台市泉区,3
北海道,旭川市,北海道旭川市,3
東京都,福生市,東京都福生市,3
愛知県,東海市,愛知県東海市,3
愛知県,知立市,愛知県知立市,3
千葉県,八街市,千葉県八街市,3
兵庫県,養父市,兵庫県養父市,3
青森県,,青森県,3
兵庫県,揖保郡太子町,兵庫県揖保郡太子町,3
奈良県,吉野郡下市町,奈良県吉野郡下市町,3
奈良県,吉野郡吉野町,奈良県吉野郡吉野町,3
京都府,与謝郡伊根町,京都府与謝郡伊根町,3
長崎県,対馬市,長崎県対馬市,2
鹿児島県,霧島市,鹿児島県霧島市,2
福井県,福井市,福井県福井市,2
佐賀県,唐津市,佐賀県唐津市,2
福岡県,小郡市,福岡県小郡市,2
岡山県,岡山市南区,岡山県岡山市南区,2
大阪府,南河内郡河南町,大阪府南河内郡河南町,2
福岡県,糟屋郡須惠町,福岡県糟屋郡須惠町,2
大阪府,泉南郡岬町,大阪府泉南郡岬町,2
熊本県,天草市,熊本県天草市,2
神奈川県,愛甲郡愛川町,神奈川県愛甲郡愛川町,2
岐阜県,中津川市,岐阜県中津川市,2
岐阜県,恵那市,岐阜県恵那市,2
愛知県,額田郡幸田町,愛知県額田郡幸田町,2
愛知県,知多郡東浦町,愛知県知多郡東浦町,2
愛知県,長久手市,愛知県長久手市,2
兵庫県,神崎郡市川町,兵庫県神崎郡市川町,2
茨城県,稲敷市,茨城県稲敷市,2
埼玉県,比企郡川島町,埼玉県比企郡川島町,2
茨城県,筑西市,茨城県筑西市,2
熊本県,合志市,熊本県合志市,2
北海道,札幌市南区,北海道札幌市南区,2
山梨県,笛吹市,山梨県笛吹市,2
東京都,清瀬市,東京都清瀬市,2
長崎県,佐世保市,長崎県佐世保市,2
奈良県,宇陀市,奈良県宇陀市,2
兵庫県,たつの市,兵庫県たつの市,2
熊本県,水俣市,熊本県水俣市,2
徳島県,板野郡藍住町,徳島県板野郡藍住町,2
徳島県,徳島市,徳島県徳島市,2
宮城県,名取市,宮城県名取市,2
福岡県,北九州市八幡東区,福岡県北九州市八幡東区,2
兵庫県,加西市,兵庫県加西市,2
北海道,札幌市豊平区,北海道札幌市豊平区,2
千葉県,山武市,千葉県山武市,2
福岡県,直方市,福岡県直方市,2
愛知県,丹羽郡扶桑町,愛知県丹羽郡扶桑町,2
愛知県,海部郡蟹江町,愛知県海部郡蟹江町,2
静岡県,浜松市東区,静岡県浜松市東区,2
静岡県,浜松市西区,静岡県浜松市西区,2
静岡県,浜松市浜名区,静岡県浜松市浜名区,2
岡山県,瀬戸内市,岡山県瀬戸内市,2
埼玉県,秩父郡長瀞町,埼玉県秩父郡長瀞町,2
