prefecture,municipality,location,total_applicants,top_age_group,top_age_ratio,female_ratio,male_ratio,national_license_rate,top_employment_status,top_employment_ratio,avg_qualification_count,latitude,longitude
京都府,京都市北区,京都府京都市北区,595,50代,0.22521008403361345,0.6218487394957983,0.37815126050420167,0.023529411764705882,就業中,0.5915966386554622,1.642016806722689,35.0397,135.7556
京都府,,京都府,500,50代,0.28,0.534,0.46599999999999997,0.044,就業中,0.706,2.182,35.02,135.75
京都府,長岡京市,京都府長岡京市,481,50代,0.2993762993762994,0.6798336798336798,0.3201663201663202,0.04365904365904366,就業中,0.632016632016632,1.9563409563409564,34.9268,135.6959
大阪府,枚方市,大阪府枚方市,432,50代,0.28703703703703703,0.5949074074074074,0.40509259259259256,0.07407407407407407,就業中,0.6944444444444444,2.3912037037037037,34.8141,135.6513
京都府,木津川市,京都府木津川市,418,50代,0.284688995215311,0.6555023923444976,0.3444976076555024,0.0430622009569378,就業中,0.6578947368421053,1.9808612440191387,34.7367,135.82
京都府,八幡市,京都府八幡市,389,50代,0.32904884318766064,0.6169665809768637,0.38303341902313626,0.04884318766066838,就業中,0.6812339331619537,1.93573264781491,34.8733,135.7095
京都府,城陽市,京都府城陽市,379,50代,0.2955145118733509,0.6596306068601583,0.3403693931398417,0.03430079155672823,就業中,0.6886543535620053,1.8997361477572559,34.8524,135.7799
京都府,京都市東山区,京都府京都市東山区,358,50代,0.26536312849162014,0.5921787709497207,0.4078212290502793,0.07541899441340782,就業中,0.6256983240223464,1.958100558659218,34.9963,135.7774
滋賀県,大津市,滋賀県大津市,343,50代,0.2653061224489796,0.565597667638484,0.43440233236151604,0.061224489795918366,就業中,0.6705539358600583,2.2565597667638486,35.0047,135.8686
奈良県,奈良市,奈良県奈良市,327,50代,0.2996941896024465,0.6513761467889908,0.3486238532110092,0.04892966360856269,就業中,0.6850152905198776,2.3486238532110093,34.6851,135.805
京都府,向日市,京都府向日市,327,50代,0.2782874617737003,0.6513761467889908,0.3486238532110092,0.03669724770642202,就業中,0.6574923547400612,2.015290519877676,34.9479,135.6984
京都府,亀岡市,京都府亀岡市,308,40代,0.22402597402597402,0.6590909090909091,0.34090909090909094,0.032467532467532464,就業中,0.6428571428571429,1.4123376623376624,35.0139,135.5739
京都府,京田辺市,京都府京田辺市,302,50代,0.26158940397350994,0.6754966887417219,0.32450331125827814,0.056291390728476824,就業中,0.6589403973509934,1.966887417218543,34.814,135.7691
大阪府,高槻市,大阪府高槻市,237,50代,0.2616033755274262,0.5063291139240507,0.49367088607594933,0.06329113924050633,就業中,0.5864978902953587,2.388185654008439,34.8466,135.6166
京都府,相楽郡精華町,京都府相楽郡精華町,184,40代,0.27717391304347827,0.6739130434782609,0.32608695652173914,0.03260869565217391,就業中,0.6413043478260869,2.108695652173913,34.7605,135.7831
滋賀県,草津市,滋賀県草津市,161,50代,0.30434782608695654,0.5652173913043478,0.4347826086956522,0.06832298136645963,就業中,0.6832298136645962,2.372670807453416,35.0171,135.9591
大阪府,,大阪府,160,30代,0.25,0.44375,0.55625,0.04375,就業中,0.7,2.6125,34.69,135.5
大阪府,大阪市北区,大阪府大阪市北区,159,30代,0.23270440251572327,0.46540880503144655,0.5345911949685535,0.10062893081761007,就業中,0.6226415094339622,2.7358490566037736,34.7024,135.5023
京都府,福知山市,京都府福知山市,153,20代,0.22875816993464052,0.673202614379085,0.326797385620915,0.026143790849673203,就業中,0.5620915032679739,1.3594771241830066,35.2971,135.1253
京都府,舞鶴市,京都府舞鶴市,141,20代,0.24113475177304963,0.7304964539007093,0.2695035460992907,0.028368794326241134,就業中,0.6028368794326241,1.2836879432624113,35.4745,135.3863
大阪府,茨木市,大阪府茨木市,140,50代,0.32857142857142857,0.5,0.5,0.1357142857142857,就業中,0.5857142857142857,2.55,34.8166,135.5683
京都府,南丹市,京都府南丹市,135,60代,0.22962962962962963,0.6370370370370371,0.36296296296296293,0.014814814814814815,就業中,0.5851851851851851,1.5333333333333334,35.1087,135.4687
大阪府,東大阪市,大阪府東大阪市,130,60代,0.24615384615384617,0.5076923076923077,0.49230769230769234,0.08461538461538462,就業中,0.6461538461538462,2.8,34.6794,135.6006
大阪府,寝屋川市,大阪府寝屋川市,129,50代,0.31007751937984496,0.4728682170542636,0.5271317829457365,0.10852713178294573,就業中,0.6511627906976745,2.550387596899225,34.7663,135.6276
大阪府,吹田市,大阪府吹田市,115,40代,0.25217391304347825,0.40869565217391307,0.5913043478260869,0.08695652173913043,就業中,0.5217391304347826,2.7217391304347824,34.7614,135.5155
大阪府,大阪市中央区,大阪府大阪市中央区,111,20代,0.24324324324324326,0.4954954954954955,0.5045045045045045,0.09009009009009009,就業中,0.6486486486486487,2.72972972972973,34.6841,135.5123
大阪府,交野市,大阪府交野市,108,50代,0.3333333333333333,0.5925925925925926,0.40740740740740744,0.07407407407407407,就業中,0.7129629629629629,2.6574074074074074,34.7875,135.6801
大阪府,豊中市,大阪府豊中市,105,40代,0.26666666666666666,0.4666666666666667,0.5333333333333333,0.10476190476190476,就業中,0.580952380952381,2.6,34.7814,135.4693
大阪府,大阪市東淀川区,大阪府大阪市東淀川区,101,50代,0.3069306930693069,0.44554455445544555,0.5544554455445545,0.13861386138613863,就業中,0.504950495049505,2.9405940594059405,34.7291,135.529
京都府,久世郡久御山町,京都府久世郡久御山町,101,50代,0.33663366336633666,0.6633663366336634,0.3366336633663366,0.019801980198019802,就業中,0.7722772277227723,2.0396039603960396,34.8889,135.75
大阪府,大阪市淀川区,大阪府大阪市淀川区,96,40代,0.25,0.3645833333333333,0.6354166666666667,0.11458333333333333,就業中,0.53125,3.0833333333333335,34.7137,135.4808
奈良県,生駒市,奈良県生駒市,93,50代,0.3010752688172043,0.6559139784946236,0.34408602150537637,0.053763440860215055,就業中,0.6344086021505376,2.4946236559139785,34.6915,135.7004
大阪府,守口市,大阪府守口市,90,50代,0.32222222222222224,0.4,0.6,0.07777777777777778,就業中,0.5666666666666667,2.588888888888889,34.7383,135.562
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,85,50代,0.3058823529411765,0.7411764705882353,0.2588235294117647,0.023529411764705882,就業中,0.611764705882353,1.8705882352941177,34.8965,135.6846
大阪府,大阪市生野区,大阪府大阪市生野区,80,40代,0.25,0.4,0.6,0.125,就業中,0.625,2.85,34.6619,135.5262
大阪府,大阪市平野区,大阪府大阪市平野区,79,30代,0.25316455696202533,0.46835443037974683,0.5316455696202531,0.17721518987341772,就業中,0.6075949367088608,2.607594936708861,34.6197,135.5543
大阪府,大阪市都島区,大阪府大阪市都島区,78,50代,0.3333333333333333,0.46153846153846156,0.5384615384615384,0.10256410256410256,就業中,0.6282051282051282,2.8076923076923075,34.7036,135.5311
大阪府,大阪市城東区,大阪府大阪市城東区,77,50代,0.2597402597402597,0.4155844155844156,0.5844155844155844,0.06493506493506493,就業中,0.5324675324675324,2.6493506493506493,34.6961,135.5451
滋賀県,守山市,滋賀県守山市,77,50代,0.33766233766233766,0.5454545454545454,0.4545454545454546,0.11688311688311688,就業中,0.6493506493506493,2.6493506493506493,35.0586,135.9935
大阪府,大阪市西成区,大阪府大阪市西成区,75,40代,0.24,0.4266666666666667,0.5733333333333333,0.12,就業中,0.6933333333333334,2.9066666666666667,34.69,135.5
滋賀県,栗東市,滋賀県栗東市,75,40代,0.26666666666666666,0.5866666666666667,0.41333333333333333,0.12,就業中,0.7066666666666667,2.533333333333333,35.0,135.87
大阪府,大阪市浪速区,大阪府大阪市浪速区,75,60代,0.2,0.4666666666666667,0.5333333333333333,0.12,就業中,0.5866666666666667,2.9066666666666667,34.69,135.5
奈良県,大和郡山市,奈良県大和郡山市,75,50代,0.4266666666666667,0.5866666666666667,0.41333333333333333,0.06666666666666667,就業中,0.7066666666666667,2.5866666666666664,34.69,135.83
兵庫県,尼崎市,兵庫県尼崎市,66,30代,0.22727272727272727,0.3484848484848485,0.6515151515151515,0.10606060606060606,就業中,0.5757575757575758,2.4696969696969697,34.69,135.18
大阪府,門真市,大阪府門真市,66,50代,0.2878787878787879,0.4696969696969697,0.5303030303030303,0.07575757575757576,就業中,0.6818181818181818,2.5757575757575757,34.69,135.5
大阪府,大阪市西区,大阪府大阪市西区,62,40代,0.24193548387096775,0.46774193548387094,0.532258064516129,0.11290322580645161,就業中,0.6290322580645161,2.806451612903226,34.69,135.5
大阪府,大阪市住吉区,大阪府大阪市住吉区,59,40代,0.3220338983050847,0.4915254237288136,0.5084745762711864,0.11864406779661017,就業中,0.5932203389830508,2.9322033898305087,34.69,135.5
大阪府,八尾市,大阪府八尾市,59,40代,0.22033898305084745,0.5254237288135594,0.47457627118644063,0.1694915254237288,就業中,0.6779661016949152,2.593220338983051,34.69,135.5
京都府,京丹後市,京都府京丹後市,58,50代,0.3620689655172414,0.7586206896551724,0.24137931034482762,0.017241379310344827,就業中,0.6379310344827587,0.896551724137931,35.02,135.75
大阪府,大阪市天王寺区,大阪府大阪市天王寺区,58,50代,0.2413793103448276,0.5517241379310345,0.4482758620689655,0.10344827586206896,就業中,0.6551724137931034,2.8620689655172415,34.69,135.5
大阪府,大東市,大阪府大東市,57,50代,0.3157894736842105,0.45614035087719296,0.543859649122807,0.12280701754385964,就業中,0.5964912280701754,2.982456140350877,34.69,135.5
大阪府,大阪市西淀川区,大阪府大阪市西淀川区,57,40代,0.24561403508771928,0.45614035087719296,0.543859649122807,0.12280701754385964,就業中,0.5789473684210527,2.7017543859649122,34.69,135.5
兵庫県,西宮市,兵庫県西宮市,56,40代,0.25,0.44642857142857145,0.5535714285714286,0.125,就業中,0.5535714285714286,2.982142857142857,34.69,135.18
大阪府,大阪市旭区,大阪府大阪市旭区,56,30代,0.25,0.3392857142857143,0.6607142857142857,0.07142857142857142,就業中,0.5357142857142857,2.892857142857143,34.69,135.5
滋賀県,,滋賀県,56,40代,0.375,0.4642857142857143,0.5357142857142857,0.05357142857142857,就業中,0.7142857142857143,2.75,35.0,135.87
大阪府,大阪市東成区,大阪府大阪市東成区,55,40代,0.3090909090909091,0.4727272727272727,0.5272727272727273,0.09090909090909091,就業中,0.5818181818181818,2.6545454545454548,34.69,135.5
大阪府,大阪市鶴見区,大阪府大阪市鶴見区,54,50代,0.25925925925925924,0.4074074074074074,0.5925925925925926,0.16666666666666666,就業中,0.6296296296296297,2.759259259259259,34.69,135.5
大阪府,箕面市,大阪府箕面市,53,40代,0.24528301886792453,0.4528301886792453,0.5471698113207547,0.09433962264150944,就業中,0.6226415094339622,2.7169811320754715,34.69,135.5
大阪府,大阪市東住吉区,大阪府大阪市東住吉区,53,40代,0.22641509433962265,0.5471698113207547,0.4528301886792453,0.22641509433962265,就業中,0.5660377358490566,2.4716981132075473,34.69,135.5
大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区,53,50代,0.32075471698113206,0.49056603773584906,0.5094339622641509,0.09433962264150944,就業中,0.6415094339622641,2.830188679245283,34.69,135.5
兵庫県,,兵庫県,52,30代,0.2692307692307692,0.3076923076923077,0.6923076923076923,0.038461538461538464,就業中,0.7307692307692307,2.9038461538461537,34.69,135.18
大阪府,摂津市,大阪府摂津市,52,40代,0.3269230769230769,0.3076923076923077,0.6923076923076923,0.019230769230769232,離職中,0.5,2.6923076923076925,34.69,135.5
大阪府,三島郡島本町,大阪府三島郡島本町,51,50代,0.29411764705882354,0.5882352941176471,0.4117647058823529,0.058823529411764705,就業中,0.5686274509803921,2.4705882352941178,34.69,135.5
大阪府,大阪市福島区,大阪府大阪市福島区,49,30代,0.24489795918367346,0.5714285714285714,0.4285714285714286,0.12244897959183673,就業中,0.6530612244897959,2.7346938775510203,34.69,135.5
奈良県,,奈良県,46,50代,0.32608695652173914,0.4782608695652174,0.5217391304347826,0.043478260869565216,就業中,0.6086956521739131,2.3043478260869565,34.69,135.83
京都府,綾部市,京都府綾部市,44,40代,0.3409090909090909,0.5681818181818182,0.43181818181818177,0.045454545454545456,就業中,0.6818181818181818,1.75,35.02,135.75
大阪府,大阪市住之江区,大阪府大阪市住之江区,42,40代,0.30952380952380953,0.47619047619047616,0.5238095238095238,0.16666666666666666,就業中,0.6190476190476191,2.5952380952380953,34.69,135.5
滋賀県,野洲市,滋賀県野洲市,41,50代,0.2926829268292683,0.5853658536585366,0.41463414634146345,0.14634146341463414,就業中,0.6829268292682927,2.6097560975609757,35.0,135.87
奈良県,天理市,奈良県天理市,38,50代,0.3684210526315789,0.631578947368421,0.368421052631579,0.05263157894736842,就業中,0.6842105263157895,2.6578947368421053,34.69,135.83
京都府,与謝郡与謝野町,京都府与謝郡与謝野町,38,50代,0.34210526315789475,0.6578947368421053,0.3421052631578947,0.0,就業中,0.5263157894736842,1.263157894736842,35.02,135.75
奈良県,橿原市,奈良県橿原市,38,50代,0.2631578947368421,0.6052631578947368,0.39473684210526316,0.05263157894736842,就業中,0.7105263157894737,2.763157894736842,34.69,135.83
大阪府,堺市北区,大阪府堺市北区,37,30代,0.24324324324324326,0.4594594594594595,0.5405405405405406,0.1891891891891892,就業中,0.5675675675675675,2.5405405405405403,34.69,135.5
京都府,綴喜郡宇治田原町,京都府綴喜郡宇治田原町,35,40代,0.37142857142857144,0.5428571428571428,0.4571428571428572,0.08571428571428572,就業中,0.6,1.8285714285714285,35.02,135.75
兵庫県,宝塚市,兵庫県宝塚市,35,30代,0.2571428571428571,0.4857142857142857,0.5142857142857142,0.08571428571428572,就業中,0.6,2.2285714285714286,34.69,135.18
京都府,綴喜郡井手町,京都府綴喜郡井手町,34,50代,0.35294117647058826,0.7058823529411765,0.2941176470588235,0.029411764705882353,離職中,0.5294117647058824,2.0294117647058822,35.02,135.75
滋賀県,彦根市,滋賀県彦根市,33,40代,0.24242424242424243,0.5454545454545454,0.4545454545454546,0.09090909090909091,就業中,0.6363636363636364,1.9393939393939394,35.0,135.87
京都府,宮津市,京都府宮津市,33,50代,0.3333333333333333,0.6060606060606061,0.3939393939393939,0.0,就業中,0.6666666666666666,1.5757575757575757,35.02,135.75
大阪府,池田市,大阪府池田市,33,40代,0.2727272727272727,0.3939393939393939,0.6060606060606061,0.12121212121212122,就業中,0.6060606060606061,3.1515151515151514,34.69,135.5
大阪府,大阪市此花区,大阪府大阪市此花区,32,50代,0.34375,0.46875,0.53125,0.15625,就業中,0.65625,3.0,34.69,135.5
大阪府,大阪市港区,大阪府大阪市港区,32,40代,0.28125,0.46875,0.53125,0.15625,就業中,0.46875,3.03125,34.69,135.5
大阪府,堺市堺区,大阪府堺市堺区,31,40代,0.2903225806451613,0.45161290322580644,0.5483870967741935,0.16129032258064516,就業中,0.6129032258064516,3.0,34.69,135.5
兵庫県,神戸市中央区,兵庫県神戸市中央区,30,40代,0.3,0.4666666666666667,0.5333333333333333,0.06666666666666667,就業中,0.5333333333333333,2.5,34.69,135.18
東京都,渋谷区,東京都渋谷区,30,30代,0.26666666666666666,0.36666666666666664,0.6333333333333333,0.16666666666666666,就業中,0.6,2.966666666666667,35.69,139.69
兵庫県,神戸市灘区,兵庫県神戸市灘区,30,40代,0.3,0.5,0.5,0.16666666666666666,離職中,0.5,2.3333333333333335,34.69,135.18
兵庫県,伊丹市,兵庫県伊丹市,30,60代,0.26666666666666666,0.36666666666666664,0.6333333333333333,0.13333333333333333,就業中,0.5,2.966666666666667,34.69,135.18
大阪府,四條畷市,大阪府四條畷市,29,50代,0.41379310344827586,0.5862068965517241,0.4137931034482759,0.034482758620689655,就業中,0.7241379310344828,2.896551724137931,34.69,135.5
大阪府,堺市中区,大阪府堺市中区,29,40代,0.27586206896551724,0.4827586206896552,0.5172413793103448,0.06896551724137931,就業中,0.4827586206896552,2.5172413793103448,34.69,135.5
大阪府,大阪市大正区,大阪府大阪市大正区,28,60代,0.25,0.4642857142857143,0.5357142857142857,0.07142857142857142,就業中,0.5357142857142857,2.357142857142857,34.69,135.5
京都府,船井郡京丹波町,京都府船井郡京丹波町,26,40代,0.23076923076923078,0.6538461538461539,0.34615384615384615,0.0,就業中,0.5769230769230769,1.1923076923076923,35.02,135.75
東京都,大田区,東京都大田区,26,30代,0.23076923076923078,0.5769230769230769,0.42307692307692313,0.15384615384615385,就業中,0.6538461538461539,2.6923076923076925,35.69,139.69
東京都,世田谷区,東京都世田谷区,26,30代,0.3076923076923077,0.4230769230769231,0.5769230769230769,0.15384615384615385,就業中,0.6538461538461539,3.1538461538461537,35.69,139.69
東京都,,東京都,26,30代,0.2692307692307692,0.38461538461538464,0.6153846153846154,0.038461538461538464,就業中,0.6153846153846154,2.3846153846153846,35.69,139.69
兵庫県,神戸市北区,兵庫県神戸市北区,25,30代,0.28,0.32,0.6799999999999999,0.08,就業中,0.6,2.6,34.69,135.18
兵庫県,芦屋市,兵庫県芦屋市,25,40代,0.28,0.44,0.56,0.0,就業中,0.6,2.68,34.69,135.18
兵庫県,川西市,兵庫県川西市,25,60代,0.36,0.4,0.6,0.08,就業中,0.6,2.6,34.69,135.18
兵庫県,神戸市東灘区,兵庫県神戸市東灘区,25,30代,0.32,0.36,0.64,0.08,就業中,0.56,3.12,34.69,135.18
大阪府,堺市南区,大阪府堺市南区,24,40代,0.3333333333333333,0.625,0.375,0.08333333333333333,就業中,0.5,2.3333333333333335,34.69,135.5
東京都,練馬区,東京都練馬区,24,30代,0.375,0.5416666666666666,0.45833333333333337,0.08333333333333333,就業中,0.6666666666666666,2.5833333333333335,35.69,139.69
東京都,杉並区,東京都杉並区,24,30代,0.2916666666666667,0.4166666666666667,0.5833333333333333,0.125,就業中,0.625,3.1666666666666665,35.69,139.69
大阪府,羽曳野市,大阪府羽曳野市,24,40代,0.25,0.5,0.5,0.08333333333333333,就業中,0.625,2.9166666666666665,34.69,135.5
東京都,港区,東京都港区,24,30代,0.25,0.5,0.5,0.25,就業中,0.625,3.0833333333333335,35.69,139.69
東京都,文京区,東京都文京区,23,60代,0.2608695652173913,0.4782608695652174,0.5217391304347826,0.043478260869565216,就業中,0.6521739130434783,2.782608695652174,35.69,139.69
大阪府,堺市西区,大阪府堺市西区,23,50代,0.2608695652173913,0.43478260869565216,0.5652173913043479,0.13043478260869565,就業中,0.5652173913043478,2.217391304347826,34.69,135.5
滋賀県,湖南市,滋賀県湖南市,22,50代,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.09090909090909091,就業中,0.6818181818181818,2.409090909090909,35.0,135.87
福井県,大飯郡高浜町,福井県大飯郡高浜町,22,40代,0.36363636363636365,0.7727272727272727,0.2272727272727273,0.0,就業中,0.5909090909090909,2.409090909090909,36.07,136.22
神奈川県,横浜市港北区,神奈川県横浜市港北区,22,30代,0.4090909090909091,0.5,0.5,0.13636363636363635,就業中,0.5909090909090909,3.0454545454545454,35.45,139.64
大阪府,和泉市,大阪府和泉市,22,40代,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.045454545454545456,就業中,0.5909090909090909,2.8181818181818183,34.69,135.5
神奈川県,横浜市青葉区,神奈川県横浜市青葉区,22,30代,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.09090909090909091,就業中,0.6818181818181818,2.4545454545454546,35.45,139.64
東京都,新宿区,東京都新宿区,22,30代,0.22727272727272727,0.4090909090909091,0.5909090909090908,0.09090909090909091,就業中,0.5909090909090909,2.9545454545454546,35.69,139.69
大阪府,藤井寺市,大阪府藤井寺市,22,60代,0.22727272727272727,0.6818181818181818,0.31818181818181823,0.18181818181818182,離職中,0.5,2.8636363636363638,34.69,135.5
東京都,板橋区,東京都板橋区,22,30代,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.045454545454545456,就業中,0.6818181818181818,3.1818181818181817,35.69,139.69
東京都,品川区,東京都品川区,21,30代,0.3333333333333333,0.5238095238095238,0.47619047619047616,0.14285714285714285,就業中,0.5238095238095238,2.7142857142857144,35.69,139.69
奈良県,磯城郡田原本町,奈良県磯城郡田原本町,21,60代,0.23809523809523808,0.5714285714285714,0.4285714285714286,0.047619047619047616,就業中,0.6666666666666666,3.0,34.69,135.83
大阪府,岸和田市,大阪府岸和田市,21,40代,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.19047619047619047,就業中,0.7619047619047619,3.0476190476190474,34.69,135.5
大阪府,松原市,大阪府松原市,21,60代,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.19047619047619047,就業中,0.6666666666666666,3.238095238095238,34.69,135.5
神奈川県,,神奈川県,20,30代,0.3,0.3,0.7,0.0,就業中,0.65,2.6,35.45,139.64
神奈川県,横浜市南区,神奈川県横浜市南区,20,30代,0.3,0.45,0.55,0.1,就業中,0.7,3.3,35.45,139.64
奈良県,生駒郡三郷町,奈良県生駒郡三郷町,20,50代,0.45,0.45,0.55,0.1,就業中,0.65,2.85,34.69,135.83
滋賀県,甲賀市,滋賀県甲賀市,20,60代,0.3,0.55,0.44999999999999996,0.15,就業中,0.5,1.8,35.0,135.87
千葉県,船橋市,千葉県船橋市,20,30代,0.25,0.35,0.65,0.05,就業中,0.7,3.9,35.61,140.11
滋賀県,近江八幡市,滋賀県近江八幡市,19,40代,0.3684210526315789,0.42105263157894735,0.5789473684210527,0.10526315789473684,就業中,0.7368421052631579,2.736842105263158,35.0,135.87
奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町,19,50代,0.21052631578947367,0.47368421052631576,0.5263157894736843,0.15789473684210525,就業中,0.8421052631578947,2.789473684210526,34.69,135.83
神奈川県,横浜市緑区,神奈川県横浜市緑区,19,60代,0.3157894736842105,0.47368421052631576,0.5263157894736843,0.05263157894736842,就業中,0.47368421052631576,2.9473684210526314,35.45,139.64
兵庫県,丹波市,兵庫県丹波市,19,20代,0.3684210526315789,0.7368421052631579,0.26315789473684215,0.0,就業中,0.5789473684210527,2.4210526315789473,34.69,135.18
埼玉県,川口市,埼玉県川口市,19,30代,0.3157894736842105,0.2631578947368421,0.736842105263158,0.10526315789473684,就業中,0.5789473684210527,3.1052631578947367,35.86,139.65
愛知県,,愛知県,19,40代,0.3157894736842105,0.3157894736842105,0.6842105263157895,0.0,就業中,0.8421052631578947,3.0526315789473686,35.18,136.91
千葉県,柏市,千葉県柏市,18,50代,0.2777777777777778,0.5555555555555556,0.4444444444444444,0.1111111111111111,就業中,0.5,2.7777777777777777,35.61,140.11
奈良県,香芝市,奈良県香芝市,18,60代,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.1111111111111111,就業中,0.6666666666666666,3.1666666666666665,34.69,135.83
東京都,足立区,東京都足立区,18,30代,0.2777777777777778,0.5,0.5,0.2222222222222222,就業中,0.6111111111111112,2.9444444444444446,35.69,139.69
東京都,町田市,東京都町田市,18,30代,0.2777777777777778,0.4444444444444444,0.5555555555555556,0.16666666666666666,就業中,0.6111111111111112,2.388888888888889,35.69,139.69
神奈川県,川崎市川崎区,神奈川県川崎市川崎区,18,30代,0.2777777777777778,0.3333333333333333,0.6666666666666667,0.1111111111111111,就業中,0.7222222222222222,3.2222222222222223,35.45,139.64
東京都,目黒区,東京都目黒区,18,30代,0.3888888888888889,0.5,0.5,0.1111111111111111,就業中,0.6666666666666666,2.6666666666666665,35.69,139.69
神奈川県,藤沢市,神奈川県藤沢市,18,20代,0.2777777777777778,0.4444444444444444,0.5555555555555556,0.1111111111111111,就業中,0.5555555555555556,3.0555555555555554,35.45,139.64
大阪府,富田林市,大阪府富田林市,17,50代,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.17647058823529413,就業中,0.5882352941176471,3.1176470588235294,34.69,135.5
奈良県,生駒郡平群町,奈良県生駒郡平群町,17,60代,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.058823529411764705,就業中,0.5882352941176471,2.9411764705882355,34.69,135.83
兵庫県,明石市,兵庫県明石市,17,30代,0.23529411764705882,0.4117647058823529,0.5882352941176471,0.23529411764705882,就業中,0.47058823529411764,2.4705882352941178,34.69,135.18
兵庫県,神戸市西区,兵庫県神戸市西区,17,50代,0.23529411764705882,0.47058823529411764,0.5294117647058824,0.17647058823529413,離職中,0.6470588235294118,3.176470588235294,34.69,135.18
東京都,千代田区,東京都千代田区,17,30代,0.29411764705882354,0.29411764705882354,0.7058823529411764,0.058823529411764705,就業中,0.7647058823529411,3.176470588235294,35.69,139.69
兵庫県,姫路市,兵庫県姫路市,17,20代,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.23529411764705882,就業中,0.5882352941176471,3.0588235294117645,34.69,135.18
神奈川県,横浜市中区,神奈川県横浜市中区,17,30代,0.35294117647058826,0.5882352941176471,0.4117647058823529,0.058823529411764705,就業中,0.6470588235294118,3.1176470588235294,35.45,139.64
滋賀県,長浜市,滋賀県長浜市,17,30代,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.11764705882352941,就業中,0.6470588235294118,1.5294117647058822,35.0,135.87
東京都,江戸川区,東京都江戸川区,17,60代,0.29411764705882354,0.35294117647058826,0.6470588235294117,0.058823529411764705,就業中,0.6470588235294118,3.411764705882353,35.69,139.69
奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町,17,40代,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.17647058823529413,就業中,0.7058823529411765,2.8823529411764706,34.69,135.83
神奈川県,鎌倉市,神奈川県鎌倉市,17,30代,0.23529411764705882,0.47058823529411764,0.5294117647058824,0.17647058823529413,就業中,0.47058823529411764,2.8823529411764706,35.45,139.64
東京都,江東区,東京都江東区,17,30代,0.4117647058823529,0.47058823529411764,0.5294117647058824,0.17647058823529413,就業中,0.5882352941176471,2.764705882352941,35.69,139.69
兵庫県,丹波篠山市,兵庫県丹波篠山市,16,50代,0.25,0.4375,0.5625,0.0,就業中,0.625,2.25,34.69,135.18
千葉県,市川市,千葉県市川市,16,30代,0.25,0.4375,0.5625,0.0625,就業中,0.5625,3.375,35.61,140.11
