node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
大阪府大阪市旭区,大阪府,大阪市旭区,54,37,17,34.6937,135.5023
奈良県天理市,奈良県,天理市,35,18,17,34.6851,135.805
東京都江東区,東京都,江東区,17,0,17,35.6895,139.6917
兵庫県神戸市西区,兵庫県,神戸市西区,17,0,17,34.6913,135.183
神奈川県横浜市中区,神奈川県,横浜市中区,17,0,17,35.4478,139.6425
神奈川県鎌倉市,神奈川県,鎌倉市,17,1,16,35.4478,139.6425
大阪府堺市東区,大阪府,堺市東区,16,0,16,34.6937,135.5023
大阪府堺市南区,大阪府,堺市南区,23,7,16,34.6937,135.5023
千葉県市川市,千葉県,市川市,16,0,16,35.6074,140.1233
兵庫県芦屋市,兵庫県,芦屋市,24,8,16,34.6913,135.183
奈良県生駒市,奈良県,生駒市,87,72,15,34.6851,135.805
神奈川県横浜市戸塚区,神奈川県,横浜市戸塚区,15,0,15,35.4478,139.6425
愛知県名古屋市緑区,愛知県,名古屋市緑区,15,0,15,35.0,135.0
神奈川県横浜市都筑区,神奈川県,横浜市都筑区,15,0,15,35.4478,139.6425
愛知県名古屋市千種区,愛知県,名古屋市千種区,15,0,15,35.0,135.0
神奈川県川崎市宮前区,神奈川県,川崎市宮前区,16,1,15,35.4478,139.6425
千葉県千葉市中央区,千葉県,千葉市中央区,15,0,15,35.6074,140.1233
神奈川県横浜市鶴見区,神奈川県,横浜市鶴見区,14,0,14,35.4478,139.6425
神奈川県大和市,神奈川県,大和市,14,0,14,35.4478,139.6425
東京都中央区,東京都,中央区,14,0,14,35.6895,139.6917
奈良県生駒郡三郷町,奈良県,生駒郡三郷町,20,6,14,34.6851,135.805
東京都台東区,東京都,台東区,14,0,14,35.6895,139.6917
神奈川県茅ヶ崎市,神奈川県,茅ヶ崎市,14,0,14,35.4478,139.6425
東京都豊島区,東京都,豊島区,14,0,14,35.6895,139.6917
東京都北区,東京都,北区,15,2,13,35.6895,139.6917
東京都中野区,東京都,中野区,13,0,13,35.6895,139.6917
千葉県習志野市,千葉県,習志野市,13,0,13,35.6074,140.1233
東京都江戸川区,東京都,江戸川区,17,4,13,35.6895,139.6917
東京都葛飾区,東京都,葛飾区,14,1,13,35.6895,139.6917
愛知県名古屋市中区,愛知県,名古屋市中区,13,0,13,35.0,135.0
東京都目黒区,東京都,目黒区,17,4,13,35.6895,139.6917
千葉県流山市,千葉県,流山市,14,1,13,35.6074,140.1233
神奈川県相模原市南区,神奈川県,相模原市南区,13,0,13,35.4478,139.6425
千葉県松戸市,千葉県,松戸市,15,2,13,35.6074,140.1233
大阪府泉佐野市,大阪府,泉佐野市,13,1,12,34.6937,135.5023
滋賀県長浜市,滋賀県,長浜市,16,4,12,35.0045,135.8686
神奈川県川崎市中原区,神奈川県,川崎市中原区,12,0,12,35.4478,139.6425
大阪府大阪市浪速区,大阪府,大阪市浪速区,73,61,12,34.6937,135.5023
兵庫県神戸市須磨区,兵庫県,神戸市須磨区,12,0,12,34.6913,135.183
大阪府高石市,大阪府,高石市,12,0,12,34.6937,135.5023
愛知県名古屋市中村区,愛知県,名古屋市中村区,15,3,12,35.0,135.0
東京都三鷹市,東京都,三鷹市,12,0,12,35.6895,139.6917
愛知県名古屋市守山区,愛知県,名古屋市守山区,12,0,12,35.0,135.0
兵庫県神戸市兵庫区,兵庫県,神戸市兵庫区,15,3,12,34.6913,135.183
神奈川県横浜市神奈川区,神奈川県,横浜市神奈川区,12,0,12,35.4478,139.6425
埼玉県,埼玉県,,12,0,12,35.8617,139.6455
埼玉県さいたま市緑区,埼玉県,さいたま市緑区,11,0,11,35.8617,139.6455
埼玉県所沢市,埼玉県,所沢市,11,0,11,35.8617,139.6455
