applicant_id,residence_pref,same_pref_count,diff_pref_count,total_desired,same_pref_ratio,mobility_score
ID_188,兵庫県,15,36,51,0.29411764705882354,0.7058823529411765
ID_189,京都府,1,0,1,1.0,0.0
ID_190,京都府,1,0,1,1.0,0.0
ID_191,京都府,2,0,2,1.0,0.0
ID_192,奈良県,2,1,3,0.6666666666666666,0.3333333333333333
ID_193,滋賀県,5,6,11,0.45454545454545453,0.5454545454545454
ID_194,大阪府,3,6,9,0.3333333333333333,0.6666666666666666
ID_195,京都府,1,0,1,1.0,0.0
ID_196,滋賀県,12,6,18,0.6666666666666666,0.3333333333333333
ID_197,京都府,4,0,4,1.0,0.0
ID_198,奈良県,3,3,6,0.5,0.5
ID_199,京都府,3,0,3,1.0,0.0
ID_200,大阪府,8,1,9,0.8888888888888888,0.1111111111111111
ID_201,京都府,1,0,1,1.0,0.0
ID_202,京都府,5,0,5,1.0,0.0
ID_203,京都府,1,0,1,1.0,0.0
ID_204,京都府,11,9,20,0.55,0.45
ID_205,滋賀県,2,1,3,0.6666666666666666,0.3333333333333333
ID_206,京都府,3,0,3,1.0,0.0
ID_208,京都府,1,0,1,1.0,0.0
ID_209,兵庫県,2,1,3,0.6666666666666666,0.3333333333333333
ID_210,京都府,1,0,1,1.0,0.0
ID_211,京都府,0,1,1,0.0,1.0
ID_212,京都府,5,8,13,0.38461538461538464,0.6153846153846154
ID_213,京都府,3,0,3,1.0,0.0
ID_214,滋賀県,1,5,6,0.16666666666666666,0.8333333333333334
ID_215,兵庫県,1,1,2,0.5,0.5
ID_216,静岡県,1,1,2,0.5,0.5
ID_217,滋賀県,3,8,11,0.2727272727272727,0.7272727272727273
ID_218,大阪府,3,1,4,0.75,0.25
ID_219,大阪府,6,2,8,0.75,0.25
ID_220,大阪府,4,4,8,0.5,0.5
ID_221,京都府,1,2,3,0.3333333333333333,0.6666666666666666
ID_222,京都府,12,0,12,1.0,0.0
ID_223,奈良県,6,1,7,0.8571428571428571,0.14285714285714285
ID_224,京都府,2,0,2,1.0,0.0
ID_225,京都府,5,0,5,1.0,0.0
ID_226,京都府,9,0,9,1.0,0.0
ID_227,京都府,1,0,1,1.0,0.0
ID_228,京都府,0,26,26,0.0,1.0
ID_229,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_230,京都府,5,2,7,0.7142857142857143,0.2857142857142857
ID_231,滋賀県,5,3,8,0.625,0.375
ID_232,京都府,5,0,5,1.0,0.0
ID_233,京都府,5,0,5,1.0,0.0
ID_234,京都府,2,1,3,0.6666666666666666,0.3333333333333333
ID_235,京都府,1,0,1,1.0,0.0
ID_236,京都府,5,0,5,1.0,0.0
ID_237,京都府,5,0,5,1.0,0.0
ID_238,滋賀県,4,54,58,0.06896551724137931,0.9310344827586207
ID_239,京都府,3,0,3,1.0,0.0
ID_240,京都府,15,20,35,0.42857142857142855,0.5714285714285714
ID_241,京都府,5,3,8,0.625,0.375
ID_242,兵庫県,1,5,6,0.16666666666666666,0.8333333333333334
ID_243,京都府,0,1,1,0.0,1.0
ID_244,京都府,8,4,12,0.6666666666666666,0.3333333333333333
ID_245,京都府,1,0,1,1.0,0.0
ID_246,京都府,1,1,2,0.5,0.5
ID_247,京都府,4,1,5,0.8,0.2
ID_248,京都府,6,0,6,1.0,0.0
ID_249,京都府,3,0,3,1.0,0.0
ID_250,大阪府,47,8,55,0.8545454545454545,0.14545454545454545
ID_251,京都府,2,0,2,1.0,0.0
ID_252,京都府,12,4,16,0.75,0.25
ID_253,大阪府,2,1,3,0.6666666666666666,0.3333333333333333
ID_254,京都府,1,0,1,1.0,0.0
ID_255,京都府,2,0,2,1.0,0.0
ID_256,京都府,10,0,10,1.0,0.0
ID_257,京都府,4,4,8,0.5,0.5
ID_258,大阪府,9,1,10,0.9,0.1
ID_259,京都府,1,0,1,1.0,0.0
ID_260,滋賀県,4,9,13,0.3076923076923077,0.6923076923076923
ID_261,京都府,7,0,7,1.0,0.0
ID_262,京都府,1,0,1,1.0,0.0
ID_263,奈良県,5,5,10,0.5,0.5
ID_264,大阪府,3,2,5,0.6,0.4
ID_265,大阪府,5,2,7,0.7142857142857143,0.2857142857142857
ID_266,京都府,1,0,1,1.0,0.0
ID_267,京都府,1,0,1,1.0,0.0
ID_268,京都府,15,21,36,0.4166666666666667,0.5833333333333334
ID_269,大阪府,34,16,50,0.68,0.32
ID_270,京都府,5,3,8,0.625,0.375
ID_271,京都府,2,0,2,1.0,0.0
ID_272,京都府,5,0,5,1.0,0.0
ID_273,京都府,7,5,12,0.5833333333333334,0.4166666666666667
ID_274,京都府,3,0,3,1.0,0.0
ID_275,京都府,3,0,3,1.0,0.0
ID_276,京都府,2,0,2,1.0,0.0
ID_277,京都府,2,0,2,1.0,0.0
ID_278,奈良県,1,1,2,0.5,0.5
ID_279,京都府,14,31,45,0.3111111111111111,0.6888888888888889
ID_280,京都府,2,0,2,1.0,0.0
ID_281,滋賀県,1,2,3,0.3333333333333333,0.6666666666666666
ID_282,奈良県,2,1,3,0.6666666666666666,0.3333333333333333
ID_283,大阪府,5,3,8,0.625,0.375
ID_284,兵庫県,3,1,4,0.75,0.25
ID_285,京都府,7,0,7,1.0,0.0
