prefecture,municipality,location,demand_count,supply_count,demand_supply_ratio,gap,latitude,longitude
新潟県,村上市,新潟県村上市,1.0,0.0,1.0,1.0,37.9,139.02
北海道,河東郡音更町,北海道河東郡音更町,1.0,0.0,1.0,1.0,43.06,141.35
長野県,諏訪市,長野県諏訪市,1.0,0.0,1.0,1.0,36.65,138.18
長野県,飯田市,長野県飯田市,1.0,0.0,1.0,1.0,36.65,138.18
青森県,三沢市,青森県三沢市,1.0,0.0,1.0,1.0,40.82,140.74
青森県,上北郡東北町,青森県上北郡東北町,1.0,0.0,1.0,1.0,40.82,140.74
青森県,八戸市,青森県八戸市,2.0,1.0,1.0,1.0,40.82,140.74
青森県,青森市,青森県青森市,1.0,0.0,1.0,1.0,40.82,140.74
青森県,黒石市,青森県黒石市,1.0,0.0,1.0,1.0,40.82,140.74
静岡県,三島市,静岡県三島市,1.0,0.0,1.0,1.0,34.98,138.38
京都,府船井郡京丹波町,京都府船井郡京丹波町,26.0,25.0,1.0,1.0,35.02,135.75
佐賀県,三養基郡基山町,佐賀県三養基郡基山町,1.0,0.0,1.0,1.0,33.25,130.3
千葉県,長生郡一宮町,千葉県長生郡一宮町,1.0,0.0,1.0,1.0,35.61,140.11
和歌山県,伊都郡かつらぎ町,和歌山県伊都郡かつらぎ町,1.0,0.0,1.0,1.0,34.23,135.17
千葉県,山武郡横芝光町,千葉県山武郡横芝光町,1.0,0.0,1.0,1.0,35.61,140.11
千葉県,旭市,千葉県旭市,1.0,0.0,1.0,1.0,35.61,140.11
東京都,武蔵村山市,東京都武蔵村山市,1.0,0.0,1.0,1.0,35.69,139.69
東京都,神津島村,東京都神津島村,1.0,0.0,1.0,1.0,35.69,139.69
東京都,稲城市,東京都稲城市,1.0,0.0,1.0,1.0,35.69,139.69
東京都,羽村市,東京都羽村市,2.0,1.0,1.0,1.0,35.69,139.69
新潟県,五泉市,新潟県五泉市,1.0,0.0,1.0,1.0,37.9,139.02
新潟県,佐渡市,新潟県佐渡市,1.0,0.0,1.0,1.0,37.9,139.02
埼玉県,幸手市,埼玉県幸手市,1.0,0.0,1.0,1.0,35.86,139.65
熊本県,合志市,熊本県合志市,2.0,1.0,1.0,1.0,32.79,130.71
